property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,110.0,187230.85,Alagoas,-9.6443051,-35.7088142
apartment,Northeast,65.0,81133.37,Alagoas,-9.6430934,-35.70484
house,Northeast,211.0,154465.45,Alagoas,-9.6227033,-35.7297953
apartment,Northeast,99.0,146013.2,Alagoas,-9.622837,-35.719556
apartment,Northeast,55.0,101416.71,Alagoas,-9.654955,-35.700227
apartment,Northeast,56.0,75727.07,Alagoas,-9.614414,-35.735621
apartment,Northeast,68.0,110916.18,Alagoas,-9.584755,-35.662909
apartment,Northeast,187.0,249641.14,Alagoas,-9.658285,-35.703827
apartment,Northeast,90.0,115459.02,Alagoas,-9.66082,-35.702976
apartment,Northeast,137.0,361979.65,Alagoas,-9.6637998,-35.7115455
apartment,Northeast,101.0,131061.59,Alagoas,-9.661504,-35.702961
house,Northeast,140.0,99856.45,Alagoas,-9.697809,-35.893414
apartment,Northeast,250.0,466625.47,Alagoas,-9.629426,-35.69973
apartment,Northeast,136.0,162941.08,Alagoas,-9.64956,-35.73711
apartment,Northeast,145.0,200197.52,Alagoas,-9.6608,-35.705772
apartment,Northeast,138.0,188295.26,Alagoas,-9.649588,-35.708401
apartment,Northeast,175.0,405666.85,Alagoas,-9.650917,-35.706558
apartment,Northeast,122.0,187230.85,Alagoas,-9.658275,-35.705242
apartment,Northeast,98.0,118579.54,Alagoas,-9.66082,-35.702976
apartment,Northeast,107.0,183069.25,Alagoas,-9.661148,-35.700417
apartment,Northeast,68.0,86366.47,Alagoas,-9.638323,-35.74342
apartment,Northeast,118.0,199559.38,Alagoas,-9.658285,-35.703827
apartment,Northeast,205.0,106050.67,Alagoas,-9.66356,-35.73373
apartment,Northeast,130.0,209074.45,Alagoas,-9.659634,-35.705776
apartment,North,93.0,148349.22,Amapá,0.0204232,-51.0695784
apartment,North,117.0,249641.14,Amazonas,-3.097695,-60.057747
house,North,110.0,118579.54,Amazonas,-3.0782332,-60.0047424
house,North,80.0,78012.85,Amazonas,-3.047664,-59.999931
house,Northeast,138.0,93615.42,Bahia,-12.977729,-38.5093
house,Northeast,202.0,154465.45,Bahia,-12.852844,-38.32711
apartment,Northeast,120.0,87374.39,Bahia,-12.993305,-38.45739
apartment,Northeast,82.0,87374.39,Bahia,-12.993305,-38.45739
